division,round,matchday,team_a,team_b,score_a,score_b
División 1,Jornada 1,1,Oxygen Gaming LOL,Nocturne Gale LOL,1,0
División 1,Jornada 1,1,Guinea Pink,Valkiria's Vikings,0,1
División 1,Jornada 1,1,EK Esports,Kawaii Kiwis 2026,0,1
División 1,Jornada 1,1,Fallen Ember,Movistar KOI Karps,0,1
División 1,Jornada 2,2,Valkiria's Vikings,Oxygen Gaming LOL,0,1
División 1,Jornada 2,2,Movistar KOI Karps,Kawaii Kiwis 2026,2,1
División 1,Jornada 2,2,Guinea Pink,Nocturne Gale LOL,2,0
División 1,Jornada 2,2,EK Esports,Fallen Ember,2,1
División 1,Jornada 3,3,Guinea Pink,Kawaii Kiwis 2026,0,2
División 1,Jornada 3,3,Valkiria's Vikings,EK Esports,2,1
División 1,Jornada 3,3,Nocturne Gale LOL,Fallen Ember,0,2
División 2,Jornada 1,1,VVV,VentuCorp eSports LOL,1,0
División 2,Jornada 1,1,Phoenix eSports,Guadalquivir Gaming,0,1
División 2,Jornada 1,1,DPT,BYAKKO'S BREEDERS,0,1
División 2,Jornada 1,1,Valkiria's Thunder,MADE IN HEAVEN,1,0
División 2,Jornada 2,2,Valkiria's Thunder,BYAKKO'S BREEDERS,0,2
División 2,Jornada 2,2,Guadalquivir Gaming,VVV,0,2
División 2,Jornada 2,2,Phoenix eSports,DPT,0,2
División 2,Jornada 2,2,VentuCorp eSports LOL,MADE IN HEAVEN,0,2
División 2,Jornada 3,3,DPT,MADE IN HEAVEN,0,2
División 2,Jornada 3,3,Valkiria's Thunder,Guadalquivir Gaming,0,2
División 3,Jornada 1,1,AzE,VAY eSports LoL,0,1
División 3,Jornada 1,1,Phoenix Ascend,CSN Rinato,1,0
División 3,Jornada 1,1,Madrid in Game,Cyclon Gaming,1,0
División 3,Jornada 1,1,Team Meet Valhalla,AJA,1,0
División 3,Jornada 2,2,Phoenix Ascend,Team Meet Valhalla,2,0
División 3,Jornada 2,2,VAY eSports LoL,Madrid in Game,0,2
División 3,Jornada 2,2,AJA,CSN Rinato,2,0
División 3,Jornada 2,2,AzE,Cyclon Gaming,2,0
División 3,Jornada 3,3,AJA,AzE,0,2
División 3,Jornada 3,3,VAY eSports LoL,Team Meet Valhalla,1,2
División 3,Jornada 1,1,Tan’i eSports LoL,SusLeague,1,0
División 3,Jornada 1,1,DimoniX,UB Ascensus,0,1
División 3,Jornada 1,1,Valkiria's Valhalla,Koryu Budo Kaiju,1,0
División 3,Jornada 1,1,NFAMY,Azure Dragons,0,1
